ANZSCO_Code,Occupation,ANZSCO Code  DIGITS
212314,Film and Video Editors,6
212315,Program Directors (Television or Radio),6
212316,Stage Managers,6
212317,Technical Directors,6
212318,Video Producers,6
212399,"Other Film, Television, Radio and Stage Directors",6
212411,Copywriters,6
212412,Newspaper and Periodical Editors,6
212413,Print Journalists,6
212414,Radio Journalists,6
212415,Technical Writers,6
212416,Television Journalists,6
212499,"Bloggers, Critics, Sports and Other Writers (not covered elsewhere)",6
221111,Accountants (General),6
221112,Management Accountants,6
221113,Taxation Accountants,6
221211,Company Secretaries,6
221212,Corporate Treasurers,6
221213,External Auditors,6
221214,Internal Auditors,6
222111,Commodities Traders,6
222112,Finance Brokers,6
222113,Insurance Brokers,6
222199,Other Financial Brokers,6
222211,Financial Market Dealers,6
222212,Futures Traders,6
222213,Stockbrokers,6
222299,Other Financial Dealers,6
222311,Financial Investment Advisers,6
222312,Financial Investment Managers,6
223111,Human Resource Advisers,6
223112,Recruitment Consultants,6
223113,Workplace Relations Advisers,6
224111,Actuaries,6
224112,Mathematicians,6
224113,Statisticians,6
224211,Archivists,6
224212,Gallery and Museum Curators,6
224213,Health Information Managers,6
224214,Records Managers,6
224411,Intelligence Officers,6
224412,Policy Analysts,6
224511,Land Economists,6
224512,Valuers,6
224711,Management Consultants,6
224712,Organisation and Methods Analysts,6
224911,Electorate Officers,6
224912,Liaison Officers,6
224913,Migration Agents,6
224914,Patents Examiners,6
224999,Information and Organisation Professionals (not covered elsewhere),6
225111,Advertising Specialists,6
225112,Market Research Analysts,6
225113,Marketing Specialists,6
225211,ICT Account Managers,6
225212,ICT Business Development Managers,6
225213,ICT Sales Representatives,6
225411,Sales Representatives (Industrial Products),6
225412,Sales Representatives (Medical and Pharmaceutical Products),6
225499,Other Technical Sales Representatives,6
231111,Aeroplane Pilots,6
231112,Air Traffic Controllers,6
231113,Flying Instructors,6
231114,Helicopter Pilots,6
231199,Other Air Transport Professionals,6
231211,Master Fishers,6
231212,Marine Engineers,6
231213,Ship's Masters,6
231214,Ship's Officers,6
231215,Marine Surveyors,6
231299,Other Marine Transport Professionals,6
232111,Architects,6
232112,Landscape Architects,6
232212,Surveyors,6
232213,Cartographers,6
232214,Other Spatial Scientists,6
232311,Fashion Designers,6
232312,Industrial Designers,6
232313,Jewellery Designers,6
232411,Graphic Designers,6
232412,Illustrators (including Animators),6
232413,Multimedia Designers,6
232414,Web Designers,6
233111,Chemical Engineers,6
233112,Materials Engineers,6
233211,Civil Engineers,6
233212,Geotechnical Engineers,6
233213,Quantity Surveyors,6
233214,Structural Engineers,6
233215,Transport Engineers,6
233511,Industrial Engineers,6
233512,Mechanical Engineers,6
233513,Production and Plant Engineers,6
233611,Mining Engineers (excluding Petroleum),6
233612,Petroleum Engineers,6
233911,Aeronautical Engineers,6
233912,Agricultural Engineers,6
233913,Biomedical Engineers,6
233914,Engineering Technologists,6
233915,Environmental Engineers,6
233916,Naval Architects,6
233999,Engineering Professionals (not covered elsewhere),6
234111,Agricultural Consultants,6
234112,Agricultural Scientists,6
234113,Foresters,6
234211,Chemists,6
234212,Food Technologists,6
234213,Wine Makers,6
234311,Conservation Officers,6
234312,Environmental Consultants,6
234313,Environmental Research Scientists,6
234314,Park Rangers,6
234399,Other Environmental Scientists,6
234411,Geologists,6
234412,Geophysicists,6
234413,Hydrogeologists,6
234511,Biologists,6
234513,Biochemists,6
234514,Biotechnologists,6
234515,Botanists,6
234516,Marine Biologists,6
234517,Microbiologists,6
234518,Zoologists,6
234599,Other Life Scientists,6
234911,Conservators,6
234912,Metallurgists,6
234913,Meteorologists,6
234914,Physicists (including Astronomers),6
234915,Exercise Physiologists,6
234999,Natural and Physical Science Professionals (not covered elsewhere),6
241511,Special Needs Teachers,6
241512,Teachers of the Hearing Impaired,6
241513,Teachers of the Sight Impaired,6
241599,Other Special Education Teachers,6
242111,University Lecturers,6
242112,University Tutors,6
249111,Education Advisers,6
249112,Education Reviewers,6
249211,Art Teachers (Private Tuition),6
249212,Dance Teachers (Private Tuition),6
249213,Drama Teachers (Private Tuition),6
249214,Music Teachers (Private Tuition),6
249299,Other Private Tutors and Teachers,6
251111,Dietitians,6
251112,Nutritionists,6
251211,Medical Diagnostic Radiographers,6
251212,Medical Radiation Therapists,6
251213,Nuclear Medicine Technologists,6
251214,Sonographers,6
251311,Environmental Health Officers,6
251312,Occupational Health and Safety Advisers,6
251411,Optometrists,6
251412,Orthoptists,6
251511,Hospital Pharmacists,6
251512,Industrial Pharmacists,6
251513,Retail Pharmacists,6
251911,Health Promotion Officers,6
251912,Orthotists and Prosthetists,6
251999,Genetic Counsellors (and Other Health Professionals not covered elsewhere),6
252111,Chiropractors,6
252112,Osteopaths,6
252211,Acupuncturists,6
252212,Homoeopaths,6
252213,Naturopaths,6
252214,Chinese Medicine Practitioners,6
252299,"Music, Dance, Drama, Play, Hypnotic, and Related Therapists",6
252311,Dental Specialists (including Orthodontists),6
252312,Dentists,6
252711,Audiologists,6
252712,Speech Pathologists,6
253111,General Practitioners,6
253112,Resident Medical Officers,6
253311,Specialist Physicians (General Medicine),6
253312,Cardiologists,6
253313,Clinical Haematologists,6
253314,Medical Oncologists,6
253315,Endocrinologists,6
253316,Gastroenterologists,6
253317,Intensive Care Specialists,6
253318,Neurologists,6
253321,Paediatricians,6
253322,Renal Medicine Specialists,6
253323,Rheumatologists,6
253324,Thoracic Medicine Specialists,6
253399,Other Specialist Physicians,6
253511,Surgeons (General),6
253512,Cardiothoracic Surgeons,6
253513,Neurosurgeons,6
253514,Orthopaedic Surgeons,6
253515,"Ear, Nose and Throat Specialists",6
253516,Paediatric Surgeons,6
253517,Plastic and Reconstructive Surgeons,6
253518,Urologists,6
253521,Vascular Surgeons,6
253911,Dermatologists,6
253912,Emergency Medicine Specialists,6
253913,Obstetricians and Gynaecologists,6
253914,Eye Specialists,6
253915,Pathologists,6
253917,Diagnostic and Interventional Radiologists,6
253918,Radiation Oncologists,6
253999,Medical Practitioners (not covered elsewhere),6
254211,Nurse Educators,6
254212,Nurse Researchers,6
254411,Nurse Practitioners,6
254412,Registered Nurses (Aged Care),6
254413,Registered Nurses (Child and Family Health),6
254414,Registered Nurses (Community Health),6
254415,Registered Nurses (Critical Care and Emergency),6
254416,Registered Nurses (Developmental Disability),6
254417,Registered Nurses (Disability and Rehabilitation),6
254418,Registered Nurses (Medical),6
254421,Registered Nurses (Medical Practice),6
254422,Registered Nurses (Mental Health),6
254423,Registered Nurses (Perioperative),6
254424,Registered Nurses (Surgical),6
254425,Registered Nurses (Paediatrics),6
254499,Registered Nurses (not covered elsewhere),6
261111,ICT Business Analysts,6
261112,Systems Analysts,6
261211,Game and Multimedia Developers,6
261212,Web Developers,6
261311,Analyst Programmers,6
261312,Developer Programmers,6
261313,Software Engineers,6
261314,Software Testers,6
261399,Other Software and Applications Programmers,6
262111,Database Administrators,6
262112,ICT Security Specialists,6
262113,Systems Administrators,6
263111,Computer Network and Systems Engineers,6
263112,Network Administrators,6
263113,Network Analysts,6
263211,ICT Quality Assurance Engineers,6
263212,ICT Support Engineers,6
263213,ICT Systems Test Engineers,6
263299,Other ICT Support and Test Engineers,6
263311,Telecommunications Engineers,6
263312,Telecommunications Network Engineers,6
271211,Judges,6
271212,Magistrates,6
271213,Tribunal Members,6
271214,Intellectual Property Lawyers,6
271299,Judicial and Other Legal Professionals (not covered elsewhere),6
272111,Careers Counsellors,6
272112,Drug and Alcohol Counsellors,6
272113,Family and Marriage Counsellors,6
272114,Rehabilitation Counsellors,6
272115,Student Counsellors,6
272199,Other Counsellors and Life Coaches,6
272311,Clinical Psychologists,6
272312,Educational Psychologists,6
272313,Organisational Psychologists,6
272314,Psychotherapists,6
272399,Other Psychologists,6
272411,Historians,6
272412,Interpreters,6
272413,Translators,6
272414,Archaeologists,6
272499,Other Social Professionals,6
272611,Community Arts Workers,6
272612,Recreation Officers,6
272613,Welfare Workers,6
311211,Anaesthetic Technicians,6
311212,Cardiac Technicians,6
311213,Medical Laboratory Technicians,6
311214,Operating Theatre Technicians,6
311215,Pharmacy Technicians,6
311216,Pathology Collectors,6
311299,Other Medical Technicians,6
311311,Fisheries Officers,6
311312,Meat Inspectors,6
311313,Quarantine Officers,6
311399,Other Primary Products Inspectors,6
311411,Chemistry Technicians,6
311412,Earth Science Technicians,6
311413,Life Science Technicians,6
311414,School Laboratory Technicians,6
311415,Hydrographers,6
311499,Other Science Technicians,6
312111,Architectural Draftspersons,6
312112,Building Associates,6
312113,Building Inspectors,6
312114,Construction Estimators,6
312115,Plumbing Inspectors,6
312116,Surveying and Spatial Science Technicians,6
312199,"Other Architectural, Building and Surveying Technicians",6
