Organisation_Code,Legal_Name,Is_RTO,Status,Registration_Manager,Legal_Authority,Head_Office_Physical_Address,Head_Office_Location_State,Latitude,Longitude,RTO_Type,NSW_Delivery_Approved,VIC_Delivery_Approved,QLD_Delivery_Approved,SA_Delivery_Approved,WA_Delivery_Approved,TAS_Delivery_Approved,NT_Delivery_Approved,ACT_Delivery_Approved
41535,AISIT Pty Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Suite 208, 351 Oran Park Drive, ORAN PARK, NSW, 2570",New South Wales,-34.00017,150.74139,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
41536,PAKENHAM INSTITUTE PTY LTD,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Unit 2 66-68 Main St, PAKENHAM, VIC, 3810",Victoria,-38.07633,145.48067,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
41539,AUSTRALIAN COLLEGE OF TECHNICAL TRAINING PTY LTD,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Unit 2 48 Gordon Ave, GEELONG WEST, VIC, 3218",Victoria,-38.14368,144.34847,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
41540,AUSTRALIAN AGRICULTURAL TRAINING PTY LTD,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"15 Colony Cres, DUBBO, NSW, 2830",New South Wales,-32.24954,148.65199,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
41542,ROADCRAFT-QUEENSLAND DRIVER TRAINING COMPLEX INC,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"22 Dennis Little Dr, GLANMIRE, QLD, 4570",Queensland,-26.22486,152.69913,Community Based Adult Education Provider,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
41543,NEW ERA INSTITUTE PTY LTD,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"13 & 14, 100 George Street, WINDSOR, NSW, 2756",New South Wales,-33.60112,150.76488,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
41544,Ultimate Education Group Pty Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Office 2, Level 2, 51 Elizabeth St, MELBOURNE, VIC, 3000",Victoria,-37.82439,144.95673,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
41549,P K Y Media Pty Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"124-126 Church St, BRIGHTON, VIC, 3186",Victoria,-37.91577,144.99618,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
41551,PPS TRAINING PTY LTD,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"22 Palmer St, Portsmith, QLD, 4870",Queensland,-16.94101,145.76311,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
41552,TMA TRAINING PTY LTD,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"1/33 Isles Drive, North Boambee Valley, NSW, 2450",New South Wales,-30.31643,153.09078,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
